linkID,pollutantID,sourceTypeID,ratePerDistance
1,1,21,1.26589
1,2,21,13.2268
1,3,21,0.644864
1,90,21,3976.16
1,91,21,55318.7
1,110,21,0.045998
1,112,21,0.00731114
1,115,21,0.00126914
1,118,21,0.0386869
2,1,21,0.950795
2,2,21,12.1159
2,3,21,2.05427
2,90,21,3675.63
2,91,21,51137.4
2,110,21,0.0447184
2,112,21,0.00603149
2,115,21,0.00126914
2,118,21,0.0386869
3,1,21,1.04942
3,2,21,36.4806
3,3,21,1.21022
3,90,21,5630.33
3,91,21,78331.7
3,110,21,0.0451294
3,112,21,0.00644254
3,115,21,0.00126914
3,118,21,0.0386869
4,1,21,1.29827
4,2,21,60.3039
4,3,21,2.40792
4,90,21,7515.09
4,91,21,104553
4,110,21,0.0462544
4,112,21,0.00756751
4,115,21,0.00126914
4,118,21,0.0386869
5,1,21,1.76418
5,2,21,72.9593
5,3,21,5.02526
5,90,21,10310.3
5,91,21,143440
5,110,21,0.0505355
5,112,21,0.0118486
5,115,21,0.00126914
5,118,21,0.0386869
6,1,21,2.25065
6,2,21,105.076
6,3,21,8.81294
6,90,21,12991.3
6,91,21,180741
6,110,21,0.0521511
6,112,21,0.0134642
6,115,21,0.00126914
6,118,21,0.0386869
7,1,21,2.73614
7,2,21,134.751
7,3,21,13.1443
7,90,21,15519.4
7,91,21,215913
7,110,21,0.0552831
7,112,21,0.0165963
7,115,21,0.00126914
7,118,21,0.0386869
8,1,21,3.45555
8,2,21,190.518
8,3,21,19.7002
8,90,21,18735.6
8,91,21,260657
8,110,21,0.0869945
8,112,21,0.0483076
8,115,21,0.00126914
8,118,21,0.0386869
9,1,21,1.51103
9,2,21,55.822
9,3,21,2.93707
9,90,21,7473.71
9,91,21,103977
9,110,21,0.0505275
9,112,21,0.0118406
9,115,21,0.00126914
9,118,21,0.0386869
10,1,21,1.43791
10,2,21,66.5474
10,3,21,3.54843
10,90,21,8379.92
10,91,21,116585
10,110,21,0.0521492
10,112,21,0.0134623
10,115,21,0.00126914
10,118,21,0.0386869
11,1,21,1.69689
11,2,21,86.0298
11,3,21,5.42325
11,90,21,10174
11,91,21,141545
11,110,21,0.0519002
11,112,21,0.0132134
11,115,21,0.00126914
11,118,21,0.0386869
12,1,21,2.30572
12,2,21,126.467
12,3,21,9.25767
12,90,21,12988.8
12,91,21,180706
12,110,21,0.0538314
12,112,21,0.0151445
12,115,21,0.00126914
12,118,21,0.0386869
13,1,21,2.57241
13,2,21,142.312
13,3,21,13.0578
13,90,21,17086.9
13,91,21,237720
13,110,21,0.0570752
13,112,21,0.0183883
13,115,21,0.00126914
13,118,21,0.0386869
14,1,21,3.84551
14,2,21,226.827
14,3,21,21.3087
14,90,21,22182.8
14,91,21,308615
14,110,21,0.0706666
14,112,21,0.0319798
14,115,21,0.00126914
14,118,21,0.0386869
15,1,21,7.38589
15,2,21,413.097
15,3,21,32.8678
15,90,21,29894
15,91,21,415897
15,110,21,0.167532
15,112,21,0.128846
15,115,21,0.00126914
15,118,21,0.0386869
16,1,21,12.1865
16,2,21,842.677
16,3,21,47.4043
16,90,21,40939.8
16,91,21,569571
16,110,21,0.483927
16,112,21,0.44524
16,115,21,0.00126914
16,118,21,0.0386869
17,1,21,20.6329
17,2,21,2612.13
17,3,21,62.709
17,90,21,51333.9
17,91,21,714177
17,110,21,1.09984
17,112,21,1.06115
17,115,21,0.00126914
17,118,21,0.0386869
18,1,21,1.52886
18,2,21,46.6686
18,3,21,4.09004
18,90,21,10458.6
18,91,21,145505
18,110,21,0.067276
18,112,21,0.0285892
18,115,21,0.00126914
18,118,21,0.0386869
19,1,21,2.13089
19,2,21,84.4948
19,3,21,11.971
19,90,21,16377.2
19,91,21,227846
19,110,21,0.0700719
19,112,21,0.031385
19,115,21,0.00126914
19,118,21,0.0386869
20,1,21,2.609
20,2,21,117.362
20,3,21,17.4421
20,90,21,21138.4
20,91,21,294085
20,110,21,0.0705614
20,112,21,0.0318745
20,115,21,0.00126914
20,118,21,0.0386869
21,1,21,5.62401
21,2,21,359.13
21,3,21,27.1298
21,90,21,27545.1
21,91,21,383218
21,110,21,0.0991868
21,112,21,0.0604999
21,115,21,0.00126914
21,118,21,0.0386869
22,1,21,8.11036
22,2,21,453.764
22,3,21,38.8389
22,90,21,36665.5
22,91,21,510105
22,110,21,0.178658
22,112,21,0.139971
22,115,21,0.00126914
22,118,21,0.0386869
23,1,21,11.0015
23,2,21,1241.74
23,3,21,48.8813
23,90,21,46697.3
23,91,21,649672
23,110,21,0.199786
23,112,21,0.1611
23,115,21,0.00126914
23,118,21,0.0386869
1,1,31,2.58722
1,2,31,23.4833
1,3,31,1.48776
1,90,31,6168.02
1,91,31,85770.9
1,110,31,0.0634234
1,112,31,0.0146999
1,115,31,0.00262681
1,118,31,0.0487235
2,1,31,1.35965
2,2,31,20.7368
2,3,31,3.72125
2,90,31,4858.7
2,91,31,67562.5
2,110,31,0.0656546
2,112,31,0.0169311
2,115,31,0.00262681
2,118,31,0.0487235
3,1,31,2.06462
3,2,31,60.6878
3,3,31,2.34944
3,90,31,7566.05
3,91,31,105216
3,110,31,0.0647072
3,112,31,0.0159837
3,115,31,0.00262681
3,118,31,0.0487235
4,1,31,2.26482
4,2,31,94.9665
4,3,31,4.59211
4,90,31,9254.51
4,91,31,128693
4,110,31,0.0645159
